SLNo,BHK_Type,Property_Name,Property_Type,Beds,Bathroom,Balcony,Address,City,State_code,Country,Landmarks
2893,2,2BHK Multistorey Apartment for Resale in The Prestige Avenue at Baner Pashan Link Road,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,Sant Tukaram School
2894,2,2BHK Multistorey Apartment for Resale in Neeti ShreeLeela at Sus,Apartment,2,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,Hotel Royal Inn
2895,2,2BHK Multistorey Apartment for Resale in Astonia Royale at Ambegaon,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,VKD Bharat Petroleum
2896,2,2BHK Multistorey Apartment for Resale in Vrindavan Srushti at Narhe,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,Zeal College
2897,2,"2BHK Multistorey Apartment for Resale in V Top Valonia at Punawale, Pimpri Chinchwad",Apartment,2,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,
2898,4,"4BHK Multistorey Apartment for Resale in Amora Home at Pimple Nilakh, Pimpri Chinchwad",Apartment,4,3,3,"Pune, Maharashtra",Pune,Maharashtra,India,Near Bharat Petrol Pump
2899,2,2BHK Multistorey Apartment for Resale in Suvidha Damodar Nisarg at Hingne Khurd,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,Miracles Academy Of Arts  Media
2900,2,2BHK Multistorey Apartment for Resale in Crystal Heights at Wakad,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,Near Choudhary Park Wakad Pune
2901,1,1BHK Multistorey Apartment for Resale in Mundhwa,Apartment,1,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,
2902,1,"1BHK Multistorey Apartment for Resale in Thergaon, Pimpri Chinchwad",Apartment,1,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,"School, hospital, Market"
2903,2,"2BHK Multistorey Apartment for Resale in The Leaf at Yewalewadi, Katraj",Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,"within 2km premises  Iscon temple, Sinhgad  Trinity College"
2904,3,3BHK Multistorey Apartment for Resale in Rohan Leher at Baner Highway Side Rd,Apartment,3,3,2,"Pune, Maharashtra",Pune,Maharashtra,India,BItwise solution PVT LTD
2905,1,1BHK Multistorey Apartment for Resale in Hubtown Countrywoods at Katraj Kondhwa Road,Apartment,1,1,,"Pune, Maharashtra",Pune,Maharashtra,India,iscon temple
2906,2,"2BHK Multistorey Apartment for Resale in Riddhi Siddhi at Alandi, Kelgaon",Apartment,2,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,Near Lokseva Petroleum
2907,1,"1BHK Multistorey Apartment for Resale in xarbia Township Nere Hinjewadi at Marunji Village, Hinjawadi",Apartment,1,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,
2908,2,2BHK Multistorey Apartment for Resale in Hillock Towers at Somatne Phata,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,Near Pavana Hospital
2909,1,1BHK Multistorey Apartment for Resale in Sara City at Chakan,Apartment,1,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,Near Podar International School
2910,2,2BHK Multistorey Apartment for Resale in Sadashiv Peth,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,Behind Neelayam theater
2911,2,2BHK Multistorey Apartment for Resale in ARV Imperia at Pisoli,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,
2912,2,2BHK Multistorey Apartment for Resale in SOL The Address Phase 3 at Moshi,Apartment,2,2,3,"Pune, Maharashtra",Pune,Maharashtra,India,Borate vasti
2913,2,2BHK Multistorey Apartment for Resale in Shapoorji Pallonji Joyville at Hinjawadi,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,Near Infosys Circle Phase I
2914,1,1BHK Multistorey Apartment for Resale in Samarth City at Kirkatwadi,Apartment,1,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,
2915,1,1BHK Multistorey Apartment for Resale in Kasba Peth,Apartment,1,1,,"Pune, Maharashtra",Pune,Maharashtra,India,Budhwar Peth Metro Station
2916,0, Multistorey Apartment for Resale in Kumar Palmcrest at Pisoli,Apartment,,2,,"Pune, Maharashtra",Pune,Maharashtra,India,
2917,1,1BHK Multistorey Apartment for Resale in Narhe,Apartment,1,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,Swami Narayan Mandir
2918,2,"2BHK Multistorey Apartment for Resale in Celestial City Phase I at Ravet, Pimpri Chinchwad",Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,
2919,2,2BHK Multistorey Apartment for Resale in Kharabwadi,Apartment,2,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,Near Podar International School
2920,4,4BHK Multistorey Apartment for Resale in Baner Pashan Link Road,Apartment,4,5,2,"Pune, Maharashtra",Pune,Maharashtra,India,
2921,2,2BHK Multistorey Apartment for Resale in Altissimo at Wakad,Apartment,2,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,
2922,1,1BHK Multistorey Apartment for Resale in Gagan Akanksha at Uruli Kanchan,Apartment,1,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,
2923,2,2BHK Multistorey Apartment for Resale in ,Apartment,2,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,
2924,1,1BHK Multistorey Apartment for Resale in Unnati Avenue at Kondhwa,Apartment,1,1,2,"Pune, Maharashtra",Pune,Maharashtra,India,
2925,3,3BHK Multistorey Apartment for Resale in Verde Residence collection at Kalyani Nagar,Apartment,3,4,3,"Pune, Maharashtra",Pune,Maharashtra,India,
2926,2,"2BHK Multistorey Apartment for Resale in Atulya Nirman at Punawale, Pimpri Chinchwad",Apartment,2,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,Near Balaji Temple
2927,1,1BHK Multistorey Apartment for Resale in Kharalwadi,Apartment,1,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,Near Heera Complex
2928,2,"2BHK Multistorey Apartment for Resale in Silver Leaf Apartment Pimple Nilakh at Pimple Nilakh, Pimpri Chinchwad",Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,
2929,2,2BHK Multistorey Apartment for Resale in Sun Sapphire at Shinde Vasti Hadapsar,Apartment,2,2,3,"Pune, Maharashtra",Pune,Maharashtra,India,Vibgyor School
2930,1,1BHK Multistorey Apartment for Resale in Siddharth Nagar Phase 3 at Aundh,Apartment,1,1,,"Pune, Maharashtra",Pune,Maharashtra,India,
2931,1,1BHK Builder Floor Apartment for Resale in Harvinda Heights  at Narhe,Builder Floor Apartment,1,1,,"Pune, Maharashtra",Pune,Maharashtra,India,Zeal College
2932,3,3BHK Multistorey Apartment for Resale in Hill Mist Garden at NIBM Road,Apartment,3,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,Near Kausar Bagh Masjid
2933,1,1BHK Multistorey Apartment for Resale in Akurdi Chikhali Road,Apartment,1,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,Near Sane Chowk.
