SLNo,Furnished_status,Facing,Car_Parking,Type_of_ownership,Booking_amount,Buy_total_price
203,Semi-Furnished,North - East,1 Covered,Freehold,5000000,17000000
204,Semi-Furnished,East,1 Open,Freehold,100000,12000000
205,Unfurnished,South,,Freehold,100000,4150000
206,Unfurnished,South - East,1 Open,Freehold,100000,9600000
207,Semi-Furnished,North - East,,,0,3300000
208,Semi-Furnished,South -West,,Freehold,100000,6800000
209,Semi-Furnished,,1 Open,Freehold,100000,25000000
210,Unfurnished,South - East,,Freehold,100000,6000000
211,Unfurnished,East,,Freehold,100000,4600000
212,Unfurnished,,,,50000,3200000
213,Semi-Furnished,North,1 Open,Freehold,0,15900000
214,Unfurnished,South,,Freehold,1000000,45000000
215,Semi-Furnished,East,1 Open,Freehold,7000000,7000000
216,Semi-Furnished,East,1 Open,Freehold,100000,3950000
217,Semi-Furnished,East,1 Open,Freehold,10000,5900000
218,Furnished,East,,Power Of Attorney,0,8000000
219,Semi-Furnished,East,,Freehold,0,49500000
220,Semi-Furnished,North,1 Open,Freehold,1000000,14000000
221,Semi-Furnished,,1 Covered,Freehold,0,3100000
222,Semi-Furnished,East,,Freehold,200000,7000000
223,Unfurnished,West,,Freehold,250000,24500000
224,Unfurnished,East,,Freehold,100000,10500000
225,Semi-Furnished,North,,Freehold,0,42000000
226,Furnished,East,,Freehold,0,25000000
227,Semi-Furnished,East,,Freehold,200000,2990000
228,Unfurnished,East,1 Covered,Freehold,1000000,16300000
229,Semi-Furnished,North - West,1 Covered,Power Of Attorney,100000,5800000
230,Furnished,East,,,0,3000000
231,Semi-Furnished,West,,Freehold,50000,3000000
232,Unfurnished,East,,Freehold,0,47500000
233,Semi-Furnished,North - East,2 Covered,Freehold,0,57000000
234,Unfurnished,South,,Freehold,700000,6500000
235,Unfurnished,,,,0,30000000
236,Unfurnished,East,,Freehold,0,2700000
237,Furnished,South - East,,Freehold,0,19000000
238,Unfurnished,North - East,,Power Of Attorney,0,4200000
239,Semi-Furnished,North - East,"1 Covered, 1 Open",Freehold,100000,28500000
240,Semi-Furnished,South,"1 Covered, 2 Open",Freehold,1000000,90000000
241,Semi-Furnished,North - East,1 Open,Freehold,1850000,18500000
242,Unfurnished,West,2 Covered,Freehold,0,37500000
243,Semi-Furnished,East,1 Covered,Freehold,2000000,48500000
244,Furnished,North,,Freehold,0,43500000
245,Semi-Furnished,North - East,"4 Covered, 2 Open",Freehold,200000,170000000
246,Semi-Furnished,North - East,1 Covered,Power Of Attorney,51000,8500000
247,Unfurnished,North - East,2 Open,Freehold,1000000,15400000
248,Semi-Furnished,North - East,"1 Covered, 1 Open",Freehold,100000,28500000
249,Semi-Furnished,North,"1 Covered, 1 Open",Freehold,100000,17000000
250,Semi-Furnished,East,1 Covered,Freehold,200000,10900000
251,Semi-Furnished,North - West,"1 Covered, 1 Open",Freehold,100000,23900000
252,Semi-Furnished,North,"1 Covered, 1 Open",Freehold,2500000,25500000
253,Semi-Furnished,East,,Freehold,2500000,21000000
254,Unfurnished,North - East,"1 Covered, 1 Open",Freehold,100000,21900000
255,Semi-Furnished,North,"1 Covered, 1 Open",Freehold,100000,19500000
256,Semi-Furnished,South - East,2 Open,Freehold,100000,12000000
257,Semi-Furnished,North - East,"1 Covered, 1 Open",Freehold,100000,19500000
258,Unfurnished,East,2 Open,Freehold,3100000,29500000
